[2026-02-04 13:27:04 Local] Logging started.
[2026-02-04 13:27:04 Local] DNS Server auth config file was loaded: /etc/dns/auth.config
[2026-02-04 13:27:04 Local] Loading DNS Cache from disk...
[2026-02-04 13:27:04 Local] Web Service config file was loaded: /etc/dns/webservice.config
[2026-02-04 13:27:04 Local] DNS Cache was loaded from disk successfully.
[2026-02-04 13:27:04 Local] DNS Server config file was loaded: /etc/dns/dns.config
[2026-02-04 13:27:04 Local] DNS Server successfully loaded zone file: /etc/dns/zones/lab.local.zone
[2026-02-04 13:27:04 Local] DNS Server allowed zone file was loaded: /etc/dns/allowed.config
[2026-02-04 13:27:04 Local] DNS Server blocked zone file was loaded: /etc/dns/blocked.config
[2026-02-04 13:27:04 Local] DNS Server block list config file was loaded: /etc/dns/blocklist.config
[2026-02-04 13:27:05 Local] [[::]:5380] [HTTP] Web Service was bound successfully.
[2026-02-04 13:27:05 Local] [0.0.0.0:53] [UDP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [0.0.0.0:53] [TCP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [[::]:53] [UDP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [[::]:53] [TCP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] DHCP Server successfully loaded scope: Default
[2026-02-04 13:27:05 Local] DNS Server (v14.3.0.0) was started successfully.
[2026-02-04 13:27:32 Local] [172.19.0.1:51161] [UDP] QNAME: edge.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:32 Local] [172.19.0.1:38296] [UDP] QNAME: edge.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:32 Local] [172.19.0.1:37434] [UDP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:32 Local] [172.19.0.1:36373] [UDP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:33 Local] [172.19.0.1:54157] [UDP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:33 Local] [172.19.0.1:35808] [UDP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:34 Local] [172.19.0.1:45405] [UDP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:34 Local] [172.19.0.1:55884] [UDP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:34 Local] [172.19.0.1:51016] [UDP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:34 Local] [172.19.0.1:46572] [UDP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:35 Local] [172.19.0.1:48963] [UDP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:35 Local] [172.19.0.1:34704] [UDP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:36 Local] [172.19.0.1:44786] [TCP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:36 Local] [172.19.0.1:44792] [TCP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:36 Local] [172.19.0.1:44818] [TCP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:36 Local] [172.19.0.1:44808] [TCP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:37 Local] [172.19.0.1:46405] [UDP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:37 Local] [172.19.0.1:39435] [UDP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:38 Local] [172.19.0.1:44828] [TCP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:38 Local] [172.19.0.1:44834] [TCP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:38 Local] [172.19.0.1:57237] [UDP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
